,FECHA,COD_C,MARCA_MODELO,PLACA,TANQUE,CAPACIDAD,UBICACION,P_TANQUE,KIT,K_MARCA,P_KIT,CERTIFICADO,P_CERT,P_CINTA_NEGRA,P_PRESINTOS,P_MANGUERA,PV_Cliente,COSTO,GANANCIA,EFECTIVO,BCP,TARJETA,G_EFECTIVO,G_BCP,G_TARJETA,Clave_Hashh,Clave_Hash
0,2023-10-03,1,MAZDA 3,B3Y-019,TOROIDAL,9 Gln,Brida interna,310,5° G.,LANDI,1010,SI,10,4,3,3,2200,1340,860,,2200.0,,0.0,860.0,0.0,2,272
1,2023-10-03,2,GREAT WALL WINGLE,5M7C-894,CILINDRICO,13 Gln,Brida externa,840,5° G.,LANDI,1010,NO,10,4,3,3,2800,1870,930,2800.0,,,930.0,0.0,0.0,2,756
2,2023-10-09,3,VAN TURISMO CHAO,M5V496,TOROIDAL,11 Gln,Brida externa,562,5° G.,ZAVOLI,1150,SI,10,4,3,3,2700,1732,968,2700.0,,,968.0,0.0,0.0,2,600
3,2023-10-10,4,MITSUBISHI XPANDER,T5F561,TOROIDAL,11 Gln,Brida externa,562,5° G.,ZAVOLI,1150,SI,10,4,3,3,2600,1732,868,2600.0,,,868.0,0.0,0.0,2,702
4,2023-10-11,5,FOTON,,CILINDRICO,14 Gln,Brida externa,380,5° G.,DIGITRONIC,1070,NO,10,4,3,3,2250,1090,1160,,,2250.0,0.0,0.0,1160.0,2,56
5,2023-10-11,6,FOTON FORLAND F190,TDK848,CILINDRICO,13 Gln,Brida externa,380,5° G.,LANDI,1054,SI,10,4,3,3,2400,1454,946,2400.0,,,946.0,0.0,0.0,2,702
6,2023-10-12,7,HYUNDAY ELANTRA,AXR-632,TOROIDAL,9 Gln,Brida interna,340,5° G.,DIGITRONIC,1070,SI,10,4,3,3,2300,1430,870,,,2300.0,0.0,0.0,870.0,2,600
7,2023-10-12,8,KIA PICANTO,T3B-497,TOROIDAL,7 Gln,Brida interna,440,5° G.,ZAVOLI,1150,SI,10,4,3,3,2450,1610,840,2450.0,,,840.0,0.0,0.0,2,420
8,2023-10-13,9,MINIBAN / N400,T5Q-094,TOROIDAL,11 Gln,Brida externa,571,5° G.,ZAVOLI,1179,SI,10,4,3,3,2600,1770,830,2600.0,,,830.0,0.0,0.0,2,552
9,2023-10-13,10,JAC REFINE,F0M277,TOROIDAL,11 Gln,BRIDA EXTERNA,571,5° G.,EMME GAS,1054,SI,10,4,3,3,2450,1645,805,2450.0,,,805.0,0.0,0.0,6,342
10,2023-10-14,11,CHANGAN,T5X-479,TOROIDAL,9 Gln,Brida interna,340,5° G.,LANDI,1054,NO,10,4,3,3,2300,1414,886,2300.0,,,886.0,0.0,0.0,6,272
11,2023-10-16,12,KIA/ RIO,BLQ-199,TOROIDAL,9 Gln,BRIDA INTERNA,340,5° G.,EMME GAS,1054,,10,4,3,3,2150,1414,736,2150.0,,,736.0,0.0,0.0,6,306
12,2023-10-17,13,JETUR/ X70,T7C-434,TOROIDAL,11 Gln,BRIDA EXTERNA,572,5° G.,ZAVOLI,1169,SI,10,4,3,3,2650,1761,889,,2650.0,,0.0,889.0,0.0,6,380
13,2023-10-18,14,HYUNDAI/ ACCENT,T2Q-610,TOROIDAL,9 Gln,Brida interna,340,5° G.,ZAVOLI,1169,SI,0,4,3,3,2200,1519,681,2200.0,,,681.0,0.0,0.0,6,600
14,2023-10-19,15,RENAUL / OROCH,T8Z-863,TOROIDAL,13 Gln,Brida externa,750,5° G.,ZAVOLI,1169,SI,10,4,3,3,2900,1939,961,1200.0,1700.0,,397.6551724137931,563.3448275862069,0.0,6,552
15,2023-10-20,16,CHEVROLET/ N300,M1X-234,TOROIDAL,9 Gln,Brida externa,550,5° G.,ZAVOLI,1178,SI,10,4,3,3,2550,1748,802,2550.0,,,802.0,0.0,0.0,6,600
16,2023-10-20,17,GREAT WALL/ GREATWALL,T4O446,TOROIDAL,9 Gln,BRIDA INTERNA,340,5° G.,ZAVOLI,1178,SI,10,4,3,3,2500,1538,962,2500.0,,,962.0,0.0,0.0,6,870
17,2023-10-21,18,NISSAN/ SUNNY,T2A-471,TOROIDAL,9 Gln,Brida interna,285,3° G.,OTROS,940,SI,10,4,3,3,1890,960,930,,90.0,1800.0,0.0,44.285714285714285,885.7142857142857,6,506
18,2023-10-25,19,GEELY/GX3,T6D-542,TOROIDAL,9 Gln,Brida interna,285,5° G.,DIGITRONIC,1070,SI,15,4,3,3,2400,1380,1020,,2400.0,0.0,0.0,1020.0,0.0,6,342
19,2023-10-30,20,KIA /RIO,T4L-477,TOROIDAL,9 Gln,BRIDA INTERNA,285,5° G.,ZAVOLI,1170,NO,0,4,3,3,2350,1465,885,,2350.0,,0.0,885.0,0.0,6,306
